index,clean_text
1,good but need updates and improvements
2,"worst mobile I have bought ever battery is draining like hell backup is only to hours with internet uses even if I put mobile idle its getting discharged this is biggest lie from amazon lenove which is not at all expected, they are making full by saying that battery is mAh booster charger is fake it takes at least to hours to be fully charged don't know how Lenovo will survive by making full of us please don't go for this else you will regret like me "
3,when I got my cash back its already January 
4,good
5,"the worst phone ever they have changed the last phone, but the problem is still same and the amazon is not returning the phone highly disappointing of amazon"
6,only I am telling don't buy it m totally disappointedpoor batterypoor camerawaste of money
7,"The phone is awesome, but while charging it heats up allot really a genuine reason to hate Lenovo k note"
8,the battery level has worn down
9,It's over hitting problems and phone hanging problems Lenovo k note so where is a service station in Ahmedabad it is a one year warranty so it can change the phone by Lenovo
10,a lot of glitches don't buy this thing better go for some other options
11,Worst
12,"good phone, but charger not working damage within months "
13,Don't purchase this item it is so much of heating battery life is very poor
14,I have faced the battery problem and motherboard problem within months this is the worst mobile in my life 
15,very good phone slim good battery backup good screen love it
16,The headset is not available
17,every time automatic on and off so kindly suggest me what I can do
18,"best product according to their prize range and its specification comparison to other mobile under range and I had bought this phone during amazon seal so I had paid only, but I have also a hdpf credit card in which I was to pay only Rs so for me it was about the best deal ever which I have done on amazon "
19,battery drains very rapidly I don't know why tell me possible solutions for battery life
20,good smartphone
21,good
22,Gallery problem and there are not atoms speakernormal speaker on this phone
23,"excellent camera excellent speed, excellent features excellent battery "
24,It's ok good product
25,it is not a very good product camera is very poor OS is not good battery draining very quickly like an ordinary phone it was a fully unexpected product from Lenovo 
26,does not have many options like cast screen with or without wifi no call recording option available doesn't even connect mobile hotspot?
27,they have not given with phone USB cable
28,awesome phone in this price and this is my second mobile from Lenovo it is fast and display has been improved 
29,the best of specifications to worst of functions the worst phone any can ever buy 
30,"I bought this phone, but I am surprised to see that this fan has two speakers, but only one ringing other is non ringing I am disappointed "
31,"good phone, but there is some issue in displaying colors on screen "
32,"before the new update of oreo it worked superbly the battery back up is also superb and there is not that much heating problem, but after that update my phone got heated up simple battery is also draining unnecessarily really very much disappointed after that update of oreo "
33,"not a good one dual SIM is not working, poor customer service "
34,"good performance, but the battery gets overheated"
35,The best camera and better backup is very good in this price full pace usual phone
36,wonderful best phone
37,The bad performance signal goes off frequently mobile restarts whenever it feels like phone becomes hot while charging please don't buy it 
38,Good all round performance ever 
39,by purchasing this we have loosed by Rs within a span of days no trustworthy deals from amazon 
40,not worth its biggest disappointment from Lenovo signal problems big headache problems with incoming calls and always show that you are not in range 
41,best phone in this rate camera quality is too good
42,it works very well 
43,"amazing product very good mobile at lower price, good features "
44,very good mobile at this price good quality of the camera and it is fast for using
45,after using only mins continuously it gets heated camera quality is also not good 
46,worst phone I have ever purchased bigggggggest charging issue 
47,poor
48,"I purchased k at first sell, but charging of the phone is very slow its take around an hr to full charge "
49,Ekdam bakwaaaasssdon t buys it network problem is permanent in Lenovo k and camera quality very low battery performance also very lowpls don't buy it
50,good phone
51,nice performance with GB ram and GB inbuilt memory
52,superb feature good battery loved this phone 
53,value for money
54,nice
55,this is very beautiful and good looking this Lenovo k 
56,Bluetooth problem while connecting Bluetooth speaker audio breakups were happened heating problem while we see you on YouTube half an hour
57,"good phone, but the heating problem exists, but it is a better choice "
58,battery standby problem
59,nice mobile long battery back up really killer camera and jet speed to run any apps 
60,amazing product
61,ok
62,not as described screen cast can't work with tv miracast and fast charging is taking up to hours contacts vcf files only download with google drive not by SD card total disappointed
63,"this is the device for average usage, battery could not last for a day the biggest con of this phone is its battery though it has mAh battery but it drains very fast camera quality is good not very good specially depth enabled mode focus is not perfect the thing I like most about this device is displayed "
64,good
65,India ka wrist mobile battery fully charged offer hour using two network signals full but incoming calls is out of coverage area Lenovo is cheating people 
66,nice mobile 
67,"mobile is good in this range, but battery backup not up to the mark weight also very high "
68,good to have it at this price point
69,"Improvements in camera in new update slow Mo added and no heating issue now, but still need system updated system updates are very slow"
70,superb
71,excellent mobile phone
72,"Very, very good product and it's really fast"
73,"fast delivery, but mobile not worth Rs no gestures, no latest features heating issues better choose other brands "
74,best mobile great specification camera is too clear focus is too sharp and fast thanks amazon and Lenovo for such mobile must buy guys
75,Verified verigood best
77,excellent product
78,nice amazing
79,the device restarts automatically 
80,bought this product recently from amazon thoroughly dissatisfied with the phone a thumbs down for this one 
81,really killer
82,hello all before you purchase remember battery performance of this device is very very poor check the picture I attached there was no use from hours sleeping and I make sure data was off still see battery draining in idle mode really bad performance and this super turbo charger they calling is waste its below than average charger really disappointed I have just raised return request pros rest all good cameradesignperformance etc.
83,to wrest phone is hang problem
84,happy with the product 
85,very bad product lots of malfunction do not take this product
86,"the look and sleekness of this phone is good but the features in this phone are very less as this phone doesn't have the basic features like no sound controller option in shortcut shutter and most importantly, there is no voice call recorder and the camera quality is also not good it is average in performance "
87,"third class phone this time Lenovo disappointed me, I have k and k note so bought k note without any kind of thinking and disappointed it stakes anytime without any load to ram battery is also third class devices in very short time and turbo charge works sometimes, but most of the time it works as normal charger gallery and many other apps aren't available as it has stock android best thing is it often shows that process android cam stopped working what the "
88,"ok with the product, but the problem was it gets shut down while charging"
89,I love Lenovo k note handset but I replace times turbo charger in the Allahabad service center within the month it becomes turbo charging to slow charging plz Lenovo fix it I request you
90,really good to buy
91,great features 
92,gift wrapping is very poor words also very small please refund money for that work 
93,I personally don't recommend to buy this product if anyone wants to connect tv over cast screen option option is available but not compatible with any other device other than chrome cast for casting though it was available for other model of Lenovo phone 
94,good
95,"if you are looking for a mid range phone you can go for this features are pretty good, but some small problems arise now and then if ignored then worth the money"
96,"as Sim slot was not working I returned and got fast delivery too so giving star buzz I m Lenovo fan and I just love mobile the best mobile  this year it get hot  less time, but I guess we can ignore it bcz the phone is v good and with lots of good features and killer look too "
97,"worst for gaming and music I bought this for the deca core processor, it has but it works worse than a quad core processed phone and it said it has speakers but one of them left doesn't have a speaker just holes to cheat buyers decent camera and display battery could be made better and the ram keeps on working for even while the phone is not in use "
98,really awesome
99,there is heating and a battery backup problem
100,nice phone 
101,The product is best purchased on Sep and got cash back on deck what a way to make fools they called it cash back lol
102,nice mobile
103,"mobile is good, but heating problem is one thing that is effecting its popularity "
104,in this segment it is very good productcamera is also great sound is great over all superb
105,"mobile in good working process more than expected, but charger have big drawback, it's not a turbo charger very late charging the mobile"
106,"worst experience from Lenovo previously, I bought k note and got mic problems and now I'm facing battery problem camera problems plz don't buy Lenovo phones "
107,great phone
108,nice 
109,good Mo
110,like it
111,high expectation hurts dual camera is not up to the mark apart from that no issues at all g g logic needs to be made clear 
112,"I bought the Lenovo k on the first sales day, but very much disappointed with the Dolby Atmos feature on the Lenovo kit does not sound good at all when switch on also it sound so weak and not punching at all when I compare it with a Lenovo k, can I get a software updates to make it sound good or is it that I got a defective phone please let me know at the earliest "
113,Its battery is draining very fast 
114,back camera images not so good a yellow shadow occurred
115,"functions of the phone are not good performance is also worst a total waste of money, please don't buy this phone whatever they are shown in their ad is false please go for me or any other brand which gives very good mobile at this range "
116,nice product
117,"the worst phone I bought again from the Lenovo before I though with stock android it will perform better, but the same story battery drain in idle time dual camera is a joke and still no fix update as Lenovo known for it please do not buy it "
118,very good
119,"good mobile heating problem, but its normal"
120,bad quality
121,"Pain is good and nice, but the battery is draining too fast battery is not me too bad"
122,nice
123,some time display is not working properly
124,The Major disadvantage of this model is battery is not detachable except that all features and working so nicely
125,battery backup is very good
